!lambda    nu*dP/dnu  
! (um)   (erg s-1 H-1)
1.000E+04  5.303E-31  
9.908E+03  5.497E-31  
9.817E+03  5.697E-31  
9.727E+03  5.905E-31  
9.638E+03  6.120E-31  
9.550E+03  6.344E-31  
9.462E+03  6.575E-31  
9.376E+03  6.815E-31  
9.290E+03  7.063E-31  
9.204E+03  7.321E-31  
9.120E+03  7.588E-31  
9.036E+03  7.865E-31  
8.954E+03  8.151E-31  
8.872E+03  8.446E-31  
8.790E+03  8.753E-31  
8.710E+03  9.071E-31  
8.630E+03  9.400E-31  
8.551E+03  9.742E-31  
8.472E+03  1.010E-30  
8.395E+03  1.046E-30  
8.318E+03  1.084E-30  
8.241E+03  1.124E-30  
8.166E+03  1.165E-30  
8.091E+03  1.207E-30  
8.017E+03  1.252E-30  
7.943E+03  1.297E-30  
7.870E+03  1.345E-30  
7.798E+03  1.394E-30  
7.727E+03  1.445E-30  
7.656E+03  1.498E-30  
7.586E+03  1.553E-30  
7.516E+03  1.610E-30  
7.447E+03  1.669E-30  
7.379E+03  1.730E-30  
7.311E+03  1.793E-30  
7.244E+03  1.859E-30  
7.178E+03  1.928E-30  
7.112E+03  1.999E-30  
7.047E+03  2.072E-30  
6.982E+03  2.148E-30  
6.918E+03  2.227E-30  
6.855E+03  2.309E-30  
6.792E+03  2.394E-30  
6.730E+03  2.482E-30  
6.668E+03  2.574E-30  
6.607E+03  2.669E-30  
6.546E+03  2.767E-30  
6.486E+03  2.870E-30  
6.427E+03  2.976E-30  
6.368E+03  3.086E-30  
6.310E+03  3.200E-30  
6.252E+03  3.318E-30  
6.194E+03  3.441E-30  
6.138E+03  3.569E-30  
6.081E+03  3.701E-30  
6.026E+03  3.839E-30  
5.970E+03  3.981E-30  
5.916E+03  4.129E-30  
5.861E+03  4.283E-30  
5.808E+03  4.442E-30  
5.754E+03  4.607E-30  
5.702E+03  4.779E-30  
5.649E+03  4.957E-30  
5.598E+03  5.142E-30  
5.546E+03  5.334E-30  
5.495E+03  5.533E-30  
5.445E+03  5.740E-30  
5.395E+03  5.954E-30  
5.346E+03  6.177E-30  
5.297E+03  6.408E-30  
5.248E+03  6.648E-30  
5.200E+03  6.897E-30  
5.152E+03  7.155E-30  
5.105E+03  7.423E-30  
5.058E+03  7.702E-30  
5.012E+03  7.991E-30  
4.966E+03  8.291E-30  
4.920E+03  8.602E-30  
4.875E+03  8.925E-30  
4.831E+03  9.261E-30  
4.786E+03  9.609E-30  
4.742E+03  9.971E-30  
4.699E+03  1.035E-29  
4.656E+03  1.074E-29  
4.613E+03  1.114E-29  
4.571E+03  1.156E-29  
4.529E+03  1.200E-29  
4.487E+03  1.245E-29  
4.446E+03  1.292E-29  
4.406E+03  1.341E-29  
4.365E+03  1.392E-29  
4.325E+03  1.445E-29  
4.285E+03  1.499E-29  
4.246E+03  1.556E-29  
4.207E+03  1.615E-29  
4.169E+03  1.676E-29  
4.130E+03  1.740E-29  
4.093E+03  1.806E-29  
4.055E+03  1.875E-29  
