#1.000E-01 = radius(micron) Astronomical silicate                   
#w(micron)  Q_abs   
1.000E+03 1.371E-05 
9.441E+02 1.538E-05 
8.913E+02 1.726E-05 
8.414E+02 1.936E-05 
7.943E+02 2.173E-05 
7.499E+02 2.438E-05 
7.079E+02 2.736E-05 
6.683E+02 3.070E-05 
6.310E+02 3.445E-05 
5.957E+02 3.866E-05 
5.623E+02 4.338E-05 
5.309E+02 4.869E-05 
5.012E+02 5.464E-05 
4.732E+02 6.132E-05 
4.467E+02 6.883E-05 
4.217E+02 7.726E-05 
3.981E+02 8.671E-05 
3.758E+02 9.732E-05 
3.548E+02 1.092E-04 
3.350E+02 1.226E-04 
3.162E+02 1.377E-04 
2.985E+02 1.546E-04 
2.818E+02 1.736E-04 
2.661E+02 1.949E-04 
2.512E+02 2.189E-04 
2.371E+02 2.459E-04 
2.239E+02 2.763E-04 
2.113E+02 3.104E-04 
1.995E+02 3.489E-04 
1.884E+02 3.920E-04 
1.778E+02 4.405E-04 
1.679E+02 4.952E-04 
1.585E+02 5.569E-04 
1.496E+02 6.264E-04 
1.413E+02 7.049E-04 
1.334E+02 7.933E-04 
1.259E+02 8.930E-04 
1.189E+02 1.006E-03 
1.122E+02 1.132E-03 
1.059E+02 1.277E-03 
1.000E+02 1.440E-03 
9.441E+01 1.624E-03 
8.913E+01 1.833E-03 
8.414E+01 2.070E-03 
7.943E+01 2.340E-03 
7.499E+01 2.642E-03 
7.079E+01 2.989E-03 
6.683E+01 3.381E-03 
6.310E+01 3.826E-03 
5.957E+01 4.327E-03 
5.623E+01 4.895E-03 
5.309E+01 5.536E-03 
5.012E+01 6.253E-03 
4.732E+01 7.061E-03 
4.467E+01 7.970E-03 
4.217E+01 8.990E-03 
3.981E+01 1.012E-02 
3.758E+01 1.137E-02 
3.548E+01 1.270E-02 
3.350E+01 1.422E-02 
3.162E+01 1.601E-02 
2.985E+01 1.809E-02 
2.818E+01 2.039E-02 
2.661E+01 2.305E-02 
2.512E+01 2.613E-02 
2.371E+01 2.954E-02 
2.239E+01 3.354E-02 
2.113E+01 3.817E-02 
1.995E+01 4.368E-02 
1.884E+01 4.857E-02 
1.778E+01 4.877E-02 
1.679E+01 4.438E-02 
1.585E+01 3.796E-02 
1.496E+01 3.220E-02 
1.413E+01 2.901E-02 
1.334E+01 3.468E-02 
1.259E+01 4.582E-02 
1.189E+01 6.090E-02 
1.122E+01 7.918E-02 
1.059E+01 1.045E-01 
1.000E+01 1.268E-01 
9.441E+00 1.414E-01 
8.913E+00 1.051E-01 
8.414E+00 6.791E-02 
7.943E+00 3.155E-02 
7.499E+00 1.402E-02 
7.079E+00 1.104E-02 
6.683E+00 1.094E-02 
6.310E+00 1.088E-02 
5.957E+00 1.064E-02 
5.623E+00 1.048E-02 
5.309E+00 1.048E-02 
5.012E+00 1.063E-02 
4.732E+00 1.090E-02 
4.467E+00 1.127E-02 
4.217E+00 1.171E-02 
3.981E+00 1.216E-02 
3.758E+00 1.261E-02 
3.548E+00 1.310E-02 
3.350E+00 1.361E-02 
3.162E+00 1.407E-02 
2.985E+00 1.460E-02 
2.818E+00 1.519E-02 
2.661E+00 1.583E-02 
2.512E+00 1.653E-02 
2.371E+00 1.730E-02 
2.239E+00 1.813E-02 
2.113E+00 1.904E-02 
1.995E+00 2.003E-02 
1.884E+00 2.110E-02 
1.778E+00 2.228E-02 
1.679E+00 2.360E-02 
1.585E+00 2.508E-02 
1.496E+00 2.668E-02 
1.413E+00 2.841E-02 
1.334E+00 3.030E-02 
1.259E+00 3.238E-02 
1.189E+00 3.477E-02 
1.122E+00 3.741E-02 
