       Time [yr]     H               H2              C               C+              CO         
  1.00000000E+00  1.00018555E-03  4.99499885E-01  7.06513468E-07  1.69255788E-04  1.95446589E-10
  1.24519708E+00  1.00023961E-03  4.99499854E-01  8.83229002E-07  1.69070221E-04  2.98488108E-10
  1.55051578E+00  1.00031036E-03  4.99499814E-01  1.10441213E-06  1.68838141E-04  4.56671776E-10
  1.93069773E+00  1.00040276E-03  4.99499764E-01  1.38111378E-06  1.68548025E-04  6.99929803E-10
  2.40409918E+00  1.00052291E-03  4.99499699E-01  1.72694224E-06  1.68185673E-04  1.07471763E-09
  2.99357729E+00  1.00067824E-03  4.99499617E-01  2.15854402E-06  1.67733711E-04  1.65316157E-09
  3.72759372E+00  1.00087756E-03  4.99499513E-01  2.69614517E-06  1.67171017E-04  2.54702627E-09
  4.64158883E+00  1.00113130E-03  4.99499382E-01  3.36416612E-06  1.66472087E-04  3.92864423E-09
  5.77969288E+00  1.00145169E-03  4.99499218E-01  4.19193094E-06  1.65606308E-04  6.06159875E-09
  7.19685673E+00  1.00185329E-03  4.99499014E-01  5.21448109E-06  1.64537132E-04  9.34490477E-09
  8.96150502E+00  1.00235364E-03  4.99498760E-01  6.47347851E-06  1.63221161E-04  1.43741269E-08
  1.11588399E+01  1.00297418E-03  4.99498445E-01  8.01807091E-06  1.61607270E-04  2.20264227E-08
  1.38949549E+01  1.00374124E-03  4.99498055E-01  9.90551874E-06  1.59635978E-04  3.35737486E-08
  1.73019574E+01  1.00468688E-03  4.99497576E-01  1.22013058E-05  1.57239336E-04  5.08286039E-08
  2.15443469E+01  1.00584963E-03  4.99496986E-01  1.49784284E-05  1.54341657E-04  7.63199204E-08
  2.68269580E+01  1.00727510E-03  4.99496262E-01  1.83155360E-05  1.50861387E-04  1.13484924E-07
  3.34048498E+01  1.00901652E-03  4.99495378E-01  2.22934654E-05  1.46714543E-04  1.66847650E-07
  4.15956216E+01  1.01113491E-03  4.99494303E-01  2.69898842E-05  1.41819939E-04  2.42123390E-07
  5.17947468E+01  1.01369887E-03  4.99493001E-01  3.24713854E-05  1.36106826E-04  3.46198219E-07
  6.44946677E+01  1.01678340E-03  4.99491433E-01  3.87834043E-05  1.29524469E-04  4.86883434E-07
  8.03085722E+01  1.02046771E-03  4.99489560E-01  4.59384093E-05  1.22053261E-04  6.72443235E-07
  1.00000000E+02  1.02483134E-03  4.99487340E-01  5.39039510E-05  1.13715893E-04  9.10953407E-07
  1.24519708E+02  1.02994841E-03  4.99484734E-01  6.25929339E-05  1.04586519E-04  1.20968339E-06
  1.55051578E+02  1.03587924E-03  4.99481710E-01  7.18587078E-05  9.47956946E-05  1.57472143E-06
  1.93069773E+02  1.04265969E-03  4.99478247E-01  8.14993545E-05  8.45269530E-05  2.01094195E-06
  2.40409918E+02  1.05028588E-03  4.99474343E-01  9.12669269E-05  7.40092959E-05  2.52201304E-06
  2.99357729E+02  1.05869653E-03  4.99470025E-01  1.00888737E-04  6.34981477E-05  3.11005827E-06
  3.72759372E+02  1.06774939E-03  4.99465358E-01  1.10088808E-04  5.32566552E-05  3.77452230E-06
  4.64158883E+02  1.07719412E-03  4.99460459E-01  1.18611304E-04  4.35358032E-05  4.51041992E-06
  5.77969288E+02  1.08664337E-03  4.99455511E-01  1.26239045E-04  3.45608182E-05  5.30639741E-06
  7.19685673E+02  1.09555262E-03  4.99450773E-01  1.32805215E-04  2.65257098E-05  6.14321498E-06
  8.96150502E+02  1.10323416E-03  4.99446569E-01  1.38199988E-04  1.95917993E-05  6.99358632E-06
  1.11588399E+03  1.10894476E-03  4.99443248E-01  1.42380944E-04  1.38736995E-05  7.82505693E-06
  1.38949549E+03  1.11205232E-03  4.99441098E-01  1.45391004E-04  9.39932221E-06  8.60742200E-06
  1.73019574E+03  1.11217994E-03  4.99440276E-01  1.47361505E-04  6.07082186E-06  9.32324357E-06
